Inventory ID,Title,Person responsible,Others involved,Required work,Target completion date,Program to follow-up with (SH/BCCH program responsible),External,Author(s) (or name of org. if no author),Date created,"Date of last update (©related to website that is linked, not necessarily the resource)",Link,Date Link Checked,Target Audience,File Format,Master Tag (Level 1),Level 2A,Level 3A,Level 4A,Level 2B,Level 3B,Level 4B,Level 2C,Level 3C,Level 4C,Description,Health condition,Area of Focus,Keywords (see tags tab for information),Learning Event?  (Y/N),Corresponding clinician/parent resource,Sibling resources e.g. next steps,Notes,Person recommending,Age,Location
1408,Eye-Pointing Classification Scale (EpCS),Debbie,,,,,Internal – Evidence Centre,"Michael T. Clarke, Jenefer Sargent, Rosemary Cooper, Gabriella Aberbach, Laura McLaughlin, Gurveen Panesar, Amie 
Woghiren, Tom Griffiths, Katie Price, Caroline Rose, John 
Swettenham",Tool 2013,,see Ax Info Card spreadsheet for associated links,Jan 11-22,"Clinicians, Researchers",Ax Toolkit Entry,Assessment,Learn About Assessments,Assessment Toolkit,,,,,,,,classifies looking behaviours related to eye-pointing( using controlled looking behaviours to point to objects and people) for non-verbal children with CP who have limited control of upper extremity movement and may communicate using eye movements,Cerebral palsy ,Communication,"eye movements, AAC, augmentative and alternate communication, eye gaze, eye pointing, visual motor control,",N,N,,,Debbie,"School Age (5-19 years), Early Years (0-6 years)",
1409,Assessment of Learning Process for Augmentative and Alternative Communication (ALP for AAC),Debbie,,,,,Internal – Evidence Centre,"Lisbeth Nilsson, Chip Clarke, Sarah Wilds ",Tool 2018,,see Ax Info Card spreadsheet for associated links,Jan 11-22,"Clinicians, Researchers",Ax Toolkit Entry,Assessment,Learn About Assessments,Assessment Toolkit,,,,,,,,assesses process of learning tool use for AAC access to communication devices,"Language delay, communication disorder , Cerebral palsy , Brain injury, concussion, Autism spectrum disorder, Developmental delay , Neuromuscular, genetic and rare conditions","Communication, Assistive technology, Thinking, cognition, Behaviour, emotion, social skills, Learning, education","social skills, cognition, attention, executive function, participation, behaviour, expression, emotion, evaluation, assistive technology",N,N,,,Debbie,School Age (5-19 years),
1410,Family Impact of Assistive Technology Scale (FIATS)- Augmentative and Alternate Communication (AAC) version,Debbie,,,,,Internal – Evidence Centre,Stephen E. Ryan & Anne Marie Renzoni ,Tool 2010,,see Ax Info Card spreadsheet for associated links,Jan 11-22,"Clinicians, Researchers",Ax Toolkit Entry,Assessment,Learn About Assessments,Assessment Toolkit,,,,,,,,"assesses parent-reported functioning and factors that affect functioning of children who use assistive technology. There are two versions available, one for those that use augmentative and alternate communication strategies.and the second for those that use adaptive seating equipment. ","Cerebral palsy , Brain injury, concussion, Autism spectrum disorder, Fetal alcohol spectrum disorder, Language delay, communication disorder , Developmental delay , Neuromuscular, genetic and rare conditions","Communication, Behaviour, emotion, social skills, Assistive technology, Personal care, home routines, Play, recreation, physical activity, Learning, education","social interaction, function, self-care, participation, outcome, measurement, language, speech, talking, assistive device",N,N,,,Debbie,"School Age (5-19 years), Early Years (0-6 years)",
1411,My Toddler Talks,Debbie,,,,,External,Kimberly Scanlon,,,https://www.mytoddlertalks.com/resources-2,Jan 11-22,"Families/caregivers, Educators, Clinicians",Non-fillable PDF,,,,,,,,,,,"resources that facilitate language development including fun sounds, first words, ideas for daily routines including play and chores","Language delay, communication disorder , Developmental delay , Cerebral palsy , Autism spectrum disorder, Autism spectrum disorder, Hearing and vision loss",Communication,"AAC, speech, language, development, play, daily routines, ",N,N,N,,Debbie,Early Years (0-6 years),
1412,Test of Playfulness (ToP) Version 4,Debbie,,,,,Internal – Evidence Centre,Anita C Bundy,Tool 1998,Tool 2008,see Ax Info Card spreadsheet for associated links,Jan 28-22,"Clinicians, Researchers, Health professional students",Ax Toolkit Entry,Assessment,Learn About Assessments,Assessment Toolkit,,,,,,,,"assesses a child's playfulness during free play, including engagement, motivation, creativity, affect and social interactions",All,"Play, recreation, physical activity, Behaviour, emotion, social skills","evaluation, play, participation, behaviour, engagement, motivation, creativity, emotion, social skills",N,N,,,Debbie,All,
1413,Revised Knox Preschool Play Scale,Debbie,,,,,Internal – Evidence Centre,Susan Knox,Tool 1968,Tool 2008,see Ax Info Card spreadsheet for associated links,Jan 28-22,"Clinicians, Researchers, Health professional students",Ax Toolkit Entry,Assessment,Learn About Assessments,Assessment Toolkit,,,,,,,,describes typical play behaviour for children 6 years and younger for indoor and outdoor play,All,"Play, recreation, physical activity, Behaviour, emotion, social skills","evaluation, play, participation, engagement, social skills, behaviour, gross motor, fine motor, communication, observation",N,N,,,Debbie,Early Years (0-6 years),
1414,Non-Communicating Children’s Pain Checklist – Revised (NCCPC- R),Debbie,,,,,Internal – Evidence Centre,"Lynn Breau, Patrick McGrath, Allen Finley, Carol Camfield",Tool 2009,,see Ax Info Card spreadsheet for associated links,Jan 28-22,"Clinicians, Researchers",Ax Toolkit Entry,Assessment,Learn About Assessments,Assessment Toolkit,,,,,,,,measures pain in children over a 2-hour period. Designed for use with children who have severe cognitive impairments but has be used by adults and other children. NCCPC-R version intended for short or long-term pain in the child’s home or in a long-term residential setting. The Postoperative version should be used to assess pain after surgery or due to procedures conducted in hospital.,All,"Communication, Behaviour, emotion, social skills, Pain","evaluation, communication disorder, cognitive impairment, intellectual disability, pain intensity, eating, sleeping, social skills, behaviour, ",N,N,,,Debbie,All,
1415,Faces Pain Scale,Debbie,,,,,Internal – Evidence Centre,International Association for the Study of Pain,Tool 2001,,see Ax Info Card spreadsheet for associated links,Jan 28-22,"Clinicians, Researchers, Families/caregivers, Health professional students",Ax Toolkit Entry,Assessment,Learn About Assessments,Assessment Toolkit,,,,,,,,measures intensity of pain by children using a visual scale with facial expressions that range from no pain to very much pain.,All,"Pain, Behaviour, emotion, social skills","evaluation, visual scale, pain intensity",N,N,,,Debbie,All,
1416,Numerical Rating Scale (NRS-11),Debbie,,,,,Internal – Evidence Centre,(hard to determine),hard to determine,,see Ax Info Card spreadsheet for associated links,Jan 28-22,"Clinicians, Researchers, Health professional students",Ax Toolkit Entry,Assessment,Learn About Assessments,Assessment Toolkit,,,,,,,,measures intensity of pain using a visual number scale ranging from 0 (no pain) to 10 (severe pain),All,"Pain, Behaviour, emotion, social skills","evaluation, visual scale, pain intensity, ",N,N,,,Debbie,School Age (5-19 years),
1417,"Revised Face, Legs, Activity, Cry, Consolability scale (FLACC) observational pain tool",Debbie,,,,,Internal – Evidence Centre,"
Shobha Malviya, Terri Voepel-Lewis, Constance Burke, Sandra Merkel, Alan R Tait",Tool 1997,Tool 2006,see Ax Info Card spreadsheet for associated links,Jan 28-22,"Clinicians, Researchers, Health professional students",Ax Toolkit Entry,Assessment,Learn About Assessments,Assessment Toolkit,,,,,,,,assesses pain for children who either are 2-7 years of age or who are nonverbal and/or cognitively impaired up to 21 years of age,"Neuromuscular, genetic and rare conditions, Developmental delay , Language delay, communication disorder , Autism spectrum disorder, Brain injury, concussion, Cerebral palsy ","Pain, Behaviour, emotion, social skills","evaluation, pain intensity, behaviour, ",N,N,,,Debbie,All,
1419,Autism Spectrum Disorder: A guide for community physicians. ,Claire/salina,Debbie (moved from Assessment Info Card spreadsheet),,,,External,"Canadian Paediatric Society, Autism Spectrum Disorder Guidelines Task Force, Principal author: Angie Ip",2019,2022,https://www.cps.ca/uploads/issues/CPS_Autism-EN-clinical-tool_1.pdf,"May 30, 2022",Clinicians,Non-fillable PDF,Assessment,Learn About Assessments,Other Assessment Resources,Assessment Pathways and Protocols,,,,,,,"This tool is a companion to 3 Canadian
Paediatric Society statements that provide
clear, comprehensive, evidence-informed
recommendations and tools to help community
paediatricians and other primary care providers
monitor for the earliest signs of ASD—an
important step toward an accurate diagnosis
and comprehensive needs assessment for
intervention planning.",Autism spectrum disorder,,early detection; diagnostic assessment; post-diagnostic management; surveillance and screening; checklist; ,n,n,n,,,All,Canada
1420,AACPDM Care Pathways: Early Diagnosis - Early Detection of Cerebral Palsy Plain Language Summary,Tanja,,,11-May-21,Neuromotor,External,AACPDM,Sep-17,Jun-20,https://www.aacpdm.org/UserFiles/file/HipSurveillance_CarePathway.pdf,02-08-2022,Families/caregivers,Non-fillable PDF,Assessment,Learn About Assessments,Other Assessment Resources,Assessment Pathways and Protocols,Learn About Health Conditions,--,,,,,Evidence informed care pathway for early diagnosis of cerebral palsy ,Cerebral palsy ,Other,"early, diagnosis, CP",N,American Academy for Cerebral Palsy and Developmental Medicine (AACPDM): Early Detection of Cerebral Palsy Care Pathway ,,,Tanja M.,Infant/Toddler (0-3 years),
1421,AACPDM Care Pathways: Hip Surveillance - Bottom Line Evidence Informed Recommendation for Hip Surveillance in Individuals wih Cerebral Palsy - Plain Language Summary,Tanja,,,11-May-21,Neuromotor,External,AACPDM,Sep-17,Jun-18,https://www.aacpdm.org/UserFiles/file/care-pathways-early-diagnosis-plain-language.pdf,02-08-2022,Families/caregivers,Non-fillable PDF,Assessment,Learn About Assessments,Other Assessment Resources,Assessment Pathways and Protocols,Learn About Health Conditions,,,,,,Evidence informed cared recommendations for hip surveillancein individuals with cerebral palsy ,Cerebral palsy ,"Bone, muscle, skin health","CP, hip displacement, hip dislocation",N,American Academy for Cerebral Palsy and Developmental Medicine (AACPDM) Hip Surveillance in Cerebral Palsy Care Pathway,,,Tanja M.,All,
1422,AACPDM Care Pathways: Central Hypotonia - Plain Language Summary,Tanja,,,11-May-21,Neuromotor,External,AACPDM,Sep-17,Mar-21,https://www.aacpdm.org/UserFiles/file/central-hypotonia-plain-language-summary.pdf,02-08-2022,Families/caregivers,Non-fillable PDF,Assessment,Learn About Assessments,Other Assessment Resources,Assessment Pathways and Protocols,Learn About Health Conditions,,,,,,Evidence informed care pathway for assessment and intervention of central hypotonia in children 0-6 years of age,Other,Other,tone,N,American Academy for Cerebral Palsy and Developmental Medicine (AACPDM)  Central Hypotonia Care Pathway,,,Tanja M. ,Early Years (0-6 years),
1423,AACPDM Care Pathways: Osteoporosis - Bottom Line Evidence Informed Recommendations for Children/Youth with Cerebral Palsy who are Non-Ambulatory and at risk for or have Osteoporosis - Plain Language Summary,Tanja,,,6-May-21,Neuromotor,External,AACPDM,Sep-17,Nov-19,https://www.aacpdm.org/UserFiles/file/OsteoporosisPlainLanguageSummary2018.pdf,02-08-2022,Families/caregivers,Non-fillable PDF,Assessment,Learn About Assessments,Other Assessment Resources,Assessment Pathways and Protocols,Learn About Health Conditions,,,,,,Evidence informed care pathway for prevention and management of osteoporosis in children and youth with cerebral palsy,Cerebral palsy ,"Bone, muscle, skin health",CP,N,American Academy for Cerebral Palsy and Developmental Medicine (AACPDM) Osteoporosis Care Pathway,,,Diane W. ,All,
1424,AACPDM Care Pathways: Sialorrhea - Bottom Lime Evidence Informed Recommendations for Children/Youth with Cerebral Palsy who have Sialorrhea - Plain Language Summary,Tanja,,,6-May-21,Neuromotor,External,AACPDM,Sep-17,Jun-18,https://www.aacpdm.org/UserFiles/file/SialorrheaPlainLanguageSummary2018.pdf,02-08-2022,Families/caregivers,Non-fillable PDF,Assessment,Learn About Assessments,Other Assessment Resources,Assessment Pathways and Protocols,Learn About Health Conditions,,,,,,Evidence informed care pathway for assessment and treatment of sialorrhea in individuals with cerebral palsy,Cerebral palsy ,"Swallowing, eating, drinking  ","CP, drooling",N,American Academy for Cerebral Palsy and Developmental Medicine (AACPDM) Siahlorrhea Care Pathway,,,Diane W. ,All,
1425,Indigo Access Methods for Technology,Debbie,,,,,External,Indigo ,,,https://www.indigosolutions.org.au/resources/access-methods-for-technology,Feb 2-22,"Clinicians, Families/caregivers, Health professional students, Educators",web link,Assessment,Learn About Assessments,Other Assessment Resources,,,,,,,,"resources (for assessment and intervention) about access methods for technology, including touchscreen, switch and eye gaze technology","Cerebral palsy , Brain injury, concussion, Autism spectrum disorder, Fetal alcohol spectrum disorder, Language delay, communication disorder , Developmental delay , Spinal cord injury, spina bifida, Neuromuscular, genetic and rare conditions, Hearing and vision loss","Hand, arm use, printing, Communication, Vision, hearing, touch, other senses, Assistive technology","touchscreen, switch use, switches, eye-pointing, eye gaze technology, communication, learning, motor control, device use, assistive technology",N,N,,,Debbie,All,Australia
1427,"Indigo Resources for assistive technology around the home and community, for communication, safety, leisure, positioning, mobility, and transport. ",Debbie,,,,,External,Indigo ,,,https://www.indigosolutions.org.au/resources,Feb 2-22,"Clinicians, Families/caregivers, Health professional students, Educators",web link,"Services, Supports & Community Resources",Equipment and Supplies,Equipment and Maintenace Information,Wheelchair and Mobility Equipment Information,Equipment and Supplies,Equipment and Maintenace Information,Other Equipment Resources,Travel and Transportation,Car Seats and Safe Transport,,"assistive technology resources for safety around the home including rails, sleeping aids, lifts, toilet, bath/shower and kitchen aids, personal alarm call systems, and for mobility including scooters, wheelchairs walking aids, and vehicle transport.","Cerebral palsy , Brain injury, concussion, Developmental delay , Spinal cord injury, spina bifida, Neuromuscular, genetic and rare conditions, Neuromuscular, genetic and rare conditions","Positioning, mobility, lower body, Assistive technology, Personal care, home routines","bathing, shower, toilet, kitchen, home adaptations, positioning, assistive device,  assistive technology, wheelchair, vehicle transport",N,N,,,Debbie,All,Australia
1435,Assistive Technology for Kids (AT4Kids) Blog,Debbie,,,,,External,AT Center at Little Tennessee Valley Educational Cooperative,2013,2022,https://at4kids.com/blog,02-10-2022,"Families/caregivers, Clinicians, Educators, Health professional students, Health professional students",web link,"Services, Supports & Community Resources",Equipment and Supplies,Equipment and Maintenace Information,Other Equipment Resources,Equipment and Supplies,Training Resources,,,,,"Blog posts covering a variety of topics related to use of assistive technology including augmentative and alternate communication (AAC), literacy, sensory impairment, different access methods including switches and eye gaze, learning supports  and assistive devices. Created by experienced OT and SLPs.  ",All,"Assistive technology, Vision, hearing, touch, other senses, Communication, Learning, education, Hand, arm use, printing, Behaviour, emotion, social skills","assistive devices, augmentative and alternate communication, AAC, access, switch use, eye gaze, literacy, visual impairment, numeracy, learning disability ",N,N,,,Debbie,All,USA
1436,Assistive Technology for Kids (AT4Kids) Resources,Debbie,,,,,External,AT Center at Little Tennessee Valley Educational Cooperative,2013,2022,https://at4kids.com/resources,02-10-2022,"Families/caregivers, Clinicians, Educators, Health professional students, Health professional students",web link,"Services, Supports & Community Resources",Equipment and Supplies,Equipment and Maintenace Information,Other Equipment Resources,Equipment and Supplies,Training Resources,,,,,"Assistive technology resources catagorized by topic  including augmentative and alternate communication (AAC), reading & writing, math, social interaction & behaviour,  organization & executive function, switch accessible games and audiobooks.",All,"Assistive technology, Vision, hearing, touch, other senses, Communication, Learning, education, Hand, arm use, printing, Behaviour, emotion, social skills, Thinking, cognition","assistive devices, augmentative and alternate communication, AAC, access, switch use, literacy, numeracy, social skills, executive function, visual impairment ",N,N,,,Debbie,All,USA
1438,Assistive Technology for Kids (AT4Kids) Video Tutorials,Debbie,,,,,External,AT Center at Little Tennessee Valley Educational Cooperative,2013,2022,https://at4kids.com/video-tutorials,02-10-2022,"Families/caregivers, Clinicians, Educators, Health professional students, Health professional students",web link,Making Treatment Choices,"Learn About Treatment, Care and Activities","Function, Activity and 'How To' Resources",,Learn About Health Conditions,,,Access Training on Treatment and Care,"Webinars, Presentations, Blogs, and Podcasts",,"Videos on how to use a variety of assistive technologies  (augmentative and alternate communication (AAC) and switches) for communication, learning, play, and social interaction. ","Brain injury, concussion, Cerebral palsy , Autism spectrum disorder, Fetal alcohol spectrum disorder, Language delay, communication disorder , Developmental delay , Spinal cord injury, spina bifida, Neuromuscular, genetic and rare conditions, Hearing and vision loss, Hearing and vision loss","Assistive technology, Vision, hearing, touch, other senses, Communication, Learning, education, Hand, arm use, printing, Behaviour, emotion, social skills, Thinking, cognition, Play, recreation, physical activity","assistive devices, augmentative and alternate communication, AAC, access, switch use, literacy, social skills, visual impairment, occupational therapy, speech language pathology",Y,N,,,Debbie,All,USA
1441,TeenWork,Maddy,,,,,External,CanAssist,,2020,https://www.canassist.ca/EN/main/teenwork.html,18-Feb-22,Families/caregivers,web link,"Services, Supports & Community Resources",Age and Healthcare Transitions,Youth to Adulthood,Post-Secondary Education and Employment Resources,,,,,,,"TeenWork is designed to help youth with disabilities and mental health challenges find and retain meaningful, part-time paid employment while attending high school.",All,All,"employment, high school, mental health, skills, workshop, coaching",N,N,https://www.canassist.ca/EN/main/canwork-1.html https://www.canassist.ca/EN/main/access-work.html,,,,
1442,CanWork,Maddy,,,,,External,CanAssist,,2020,https://www.canassist.ca/EN/main/canwork-1.html,18-Feb-22,Families/caregivers,web link,"Services, Supports & Community Resources",Age and Healthcare Transitions,Youth to Adulthood,Post-Secondary Education and Employment Resources,,,,,,,"CanWork supports UVic students who identify as having a disability or mental health challenge to engage in meaningful, paid, relevant work experience during their degrees.",All,All,"employment, university, mental health, independence, skills",N,N,https://www.canassist.ca/EN/main/teenwork.html https://www.canassist.ca/EN/main/access-work.html,,,,
1443,AccessWork,Maddy,,,,,External,CanAssist,,2020,https://www.canassist.ca/EN/main/access-work.html,18-Feb-22,Families/caregivers,web link,"Services, Supports & Community Resources",Age and Healthcare Transitions,Youth to Adulthood,Post-Secondary Education and Employment Resources,,,,,,,"AccessWork supports participants aged 19+ by matching them with Job Coaches who offer customized support in performing a job search, building strong resumes and cover letters, excelling in interviews, strategizing workplace supports, and learning communication, time management, and self-advocacy skills","A, All",All,"adult, employment, coaching, mental health, independence, skills",N,N,https://www.canassist.ca/EN/main/canwork-1.html https://www.canassist.ca/EN/main/teenwork.html,,,,
1444,In Plain Sight Report: Addressing Indigenous-specific racism and discrimination in BC health care,Maddy,,,,,External,Mary Ellen Turpel-Lafond,2020,,https://engage.gov.bc.ca/app/uploads/sites/613/2020/11/In-Plain-Sight-Summary-Report.pdf,18-Mar-22,"Families/caregivers, Decision makers, Educators, Researchers, Health professional students",Non-fillable PDF,Get Involved,Get Involved to Help Improve Health Care Quality,,,,,,,,,A report on Indigenous-specific racism and discrimination within the healthcare system in BC.,All,,"health equity, access, cultural competence, cultural safety",N,,,,Emma,All,BC
1446,Safe Space: Report Racism,Maddy,,,,,External,Safe Space,,,https://safespace.healthcare,18-Mar-22,"Clinicians, Families/caregivers, Families/caregivers, Decision makers",web link,"Services, Supports & Community Resources",Find Care and Support Services in BC,Indigenous Services and Supports,,,,,,,,"Safespace is a safe, anonymous way to share your healthcare experiences with an organization you already trust. ",All,,"complain, feedback, quality improvement, report, anonymous",N,,,,Emma,All,BC
1448,Mental Wellness and Counselling: First Nations Health Authority,Maddy,,,,,External,First Nations Health Authority,,2022,https://www.fnha.ca/benefits/mental-health,18-Mar-22,"Families/caregivers, Children/youth, Clinicians",web link,"Services, Supports & Community Resources",Funding and Financial Supports,Government Funding and Programs,,Find Care and Support Services in BC,Indigenous Services and Supports,,,,,"A comprehensive mental health plan to First Nations in BC that covers counselling services from a qualified mental health provider. Mental health providers include psychologists, clinical counsellors and social workers. Your plan will cover as many hours of counselling as you and your provider determine you need.",Mental health condition,,"counselling, therapy, psychologist, social worker, coverage, financial support",N,,,,Emma,All,BC
1449,Guide to Mental Health Counselling Services: First Nations Health Authority,Maddy,,,,,External,First Nations Health Authority,,,https://www.fnha.ca/Documents/FNHA-FNHB-Guide-To-Mental-Health-Counselling-Services.pdf,18-Mar-22,"Families/caregivers, Decision makers, Children/youth, Clinicians",Non-fillable PDF,"Services, Supports & Community Resources",Funding and Financial Supports,Government Funding and Programs,,Find Care and Support Services in BC,Indigenous Services and Supports,,,,,Information regarding elegibility and coverage for the Short-Term Crisis Intervention Mental Health Counselling (STCIMHC) Benefit and the Individual and Family Counselling component of Indian Residential School (IRS) Resolution Health Support Program (RHSP).,Mental health condition,,"counselling, crisis intervention, elegibility, coverage",N,,,,Emma,All,BC
1450,How to Access Mental Health Services Using Telehealth: First Nations Health Authority,Maddy,,,,,External,First Nations Health Authority,,,https://www.fnha.ca/benefits/health-benefits-news/how-to-access-mental-health-services-using-telehealth,18-Mar-22,"Clinicians, Families/caregivers, Decision makers, Educators, Researchers, Children/youth",web link,"Services, Supports & Community Resources",Find Care and Support Services in BC,Indigenous Services and Supports,,,,,,,,Information on how to access telehealth mental health services offered through the FNHA mental health benefits.,Mental health condition,,"counselling, virtual, phone, videoconferencing, appointment",N,,,,Emma,All,BC
1451,Crisis Centre BC: First Nations Health Authority,Maddy,,,,,External,First Nations Health Authority,,,https://crisiscentre.bc.ca/fnha/,18-Mar-22,"Clinicians, Families/caregivers, Children/youth",web link,"Services, Supports & Community Resources",Find Care and Support Services in BC,Indigenous Services and Supports,,,,,,,,,Mental health condition,,,,,,,,,
1452,Métis Nation BC: Programs for Families,Maddy,,,,,,,,,https://www.mnbc.ca/families/,,,,,,,,,,,,,,,,,,,,,,,,
1453,Indigenous Canada: Free Online Course ,Maddy,,,,,,,,,https://www.ualberta.ca/admissions-programs/online-courses/indigenous-canada/index.html,,,,,,,,,,,,,,,,,,,,,,,,
1454,Youth in BC Crisis Line ,Maddy,,,,,,,,,youthinbc.com,,,,,,,,,,,,,,,,,,,,,,,,
1455,BC Aboriginal Child Care Society,Maddy,,,,,External,BC Aboriginal Child Care Society,,2018,https://www.acc-society.bc.ca,14-Mar-22,"Clinicians, Families/caregivers, Educators",web link,"Services, Supports & Community Resources",Find Care and Support Services in BC,Indigenous Services and Supports,,Find Care and Support Services in BC,Supports to Help You Find Services,,,,,Browse a curated selection of resources for Indigenous early learning and child care (ELCC),All,,"language, parenting, transitions, kindergarten, funding, COVID-19, research, training",,,,,Emma,Early Years (0-6 years),BC
1456,Jordan’s Principle Enhanced Services Coordination Hub,Maddy,,,,,External,BC Aboriginal Child Care Society,,2022,https://jordansprinciplehubbc.ca,14-Mar-22,"Educators, Families/caregivers, Clinicians",web link,"Services, Supports & Community Resources",Find Care and Support Services in BC,Indigenous Services and Supports,,Find Care and Support Services in BC,Supports to Help You Find Services,,,,,"The Hub provides a centralized support network for Jordan’s Principle Service Coordinators, who work directly with children and families to help access existing products, services, and supports, and to submit Jordan’s Principle and Inuit Child First Initiative requests where appropriate.",All,,"submit a request, funding, directory, map, support, network",,,,,Emma,All,BC
1457,Maternity and Babies Advice Line,Maddy,,,,,External,First Nations Health Authority,,2022,https://www.fnha.ca/what-we-do/ehealth/maternity-and-babies-advice-line,14-Mar-22,"Families/caregivers, Clinicians",web link,"Services, Supports & Community Resources",Find Care and Support Services in BC,Indigenous Services and Supports,,Find Care and Support Services in BC,Supports for Families,Other Community Supports,,,,"Provides services to expectant mothers and new parents, guardians or caregivers of newborn babies in rural and remote First Nations communities in BC",,,,,,,,Emma,,BC
1458,"Anti-Racism, Cultural Safety & Humility Framework",Maddy,,,,,External,First Nations Health Authority,,2021,https://www.fnha.ca/Documents/FNHA-FNHC-FNHDA-Anti-Racism-Cultural-Safety-and-Humility-Framework.pdf,14-Mar-22,"Clinicians, Health professional students, Researchers, Educators, Decision makers",Non-fillable PDF,"Services, Supports & Community Resources",Find Care and Support Services in BC,Indigenous Services and Supports,,,,,,,,The purpose of the Framework is to outline strategic objectives and priority action areas to support a vision of a health and wellness system in BC that is free of racism and discrimination against First Nation,,,"service improvement, healthcare, equity, anti-indigenous racism, systemic racism, indigenous",,,,,Emma,,BC
1459,Aboriginal Health Liaisons: Fraser Health,Maddy,,,,,External,Fraser Health Authority,,2021,https://www.fraserhealth.ca/health-topics-a-to-z/aboriginal-health/aboriginal-health-liaisons#.Yi-Nmy295N1,14-Mar-22,"Clinicians, Families/caregivers, Children/youth, Educators",web link,"Services, Supports & Community Resources",Find Care and Support Services in BC,Indigenous Services and Supports,,Find Care and Support Services in BC,Supports to Help You Find Services,,,,,"Aboriginal health liaisons connect with First Nations, Métis and Inuit patients and family members, health care professionals and other service providers to make sure Indigenous patients receive culturally safe, appropriate and timely care, whether in hospital or community.",,,"system navigation, advocacy, health, wellness",,,,,Emma,,BC
1460,KidsAction Coaching website,Stephanie,,,,,External,KidsAction research team (BC Children's Hospital Research Institute),December 2021,2022,http://kidsaction.ca ,"Mar 18, 2022","Families/caregivers, Clinicians, Families/caregivers, Families/caregivers, Clinicians, Families/caregivers, Clinicians",web link,Making Treatment Choices,"Learn About Treatment, Care and Activities","Function, Activity and 'How To' Resources",,Access Training on Treatment and Care,,,,,,"A resource website that includes self-paced learning on physical literacty, coaching, Indigenous inclusion and using the evidence-based KidsAction Coaching approach with children with diverse abilities, and a physical activity bank with examples of how to adapt each activity to meet the needs of each child",All,"Play, recreation, physical activity","Indigenous, inclusion, physical activity, home activities, coaching, KidsAction, training",Y,,,,"Stephanie Glegg, OT","School Age (5-19 years), Early Years (0-6 years)",Canada
1461,Appetite to Play website,Stephanie,,,,Child Health BC,External,Child Health BC,Unknown,2021,http://appetitetoplay.com ,"Mar 18, 2022","Clinicians, Educators, Educators, Clinicians, Educators",web link,Making Treatment Choices,"Learn About Treatment, Care and Activities","Function, Activity and 'How To' Resources",,,,,,,,"A resource website for early childhood educators and others who support young children with physical activity, nutrition and other aspects of health. Includes activity ideas to use with children.",All,"Play, recreation, physical activity, Other","early years, preschool, physical activity, nutrituion, health",N,,,,"Stephanie Glegg, OT",Early Years (0-6 years),Canada
1462,Medical Transportation Benefit,Maddy,,,,,External,First Nations Health Authority,Unknown,2022,https://www.fnha.ca/benefits/medical-transportation,"Mar 18, 2022","Families/caregivers, Clinicians",web link,"Services, Supports & Community Resources",Funding and Financial Supports,Tax Benefits and Discount Programs,,Find Care and Support Services in BC,Indigenous Services and Supports,,,,,"Provides assistance with the cost of meals, accommodation and transportation to help you travel to a medical appointment outside your community of residence.",All,,"meals, accomodation, escorts, rural, remote, travel, COVID-19 isolation, coverage",M,,,,Darci,All,BC
1463,Accessibility Reviewed,Debbie,,,,,External,Reviewed.com ,Jan 2022,,https://www.reviewed.com/accessibility,Mar 18-22,"Families/caregivers, Clinicians, Technician/engineer, Technician/engineer",web link,"Services, Supports & Community Resources",Equipment and Supplies,Equipment and Maintenace Information,Other Equipment Resources,,,,,,,"online accessibility product reviews based on tests carried out in both the Reviewed test labs and in real-life settings. Reviews are written by Reviewed editors, staff writers, and experienced, accomplished contributors",All,All,"accessibility, product review, adaptive product, assistive device, assistive technology, accessible design, universal design, equipment testing",N,N ,,,Debbie,All,USA
1464,Screen Time Use Guidelines and Strategies for Children and Youth with Autism,Debbie,,,,,External,"SocialTech ASD, UBC OSOT ",March 2022,,https://asdtechnology.osot.ubc.ca/screen-time-use-guidelines/,Mar 18-22,"Families/caregivers, Children/youth, Educators, Clinicians, Health professional students",web link,"Services, Supports & Community Resources",Recreation and Leisure Activities,,,Equipment and Supplies,Equipment and Maintenace Information,Other Equipment Resources,Advocating for Your Family's Needs,,,"
Guidelines and strategies for families and professionals around screen time use for children and youth aged 2 to 18 who have autism. Some of the guidelines may be applicable for other groups of children too, but the study examined the applicability of the guidelines specifically for children with autism.",Autism spectrum disorder,"Assistive technology, Behaviour, emotion, social skills","assistive technology, assistive device, screen time, monitoring, recommendations, treatment, intervention, behaviour, Internet Gaming Disorder, red flag ",N,N,,,Debbie,All,BC
