"Only applicable to the Digital Team, Claire, Steph and Kim - Legend for rows 2 and 3: X = internal use only, ID = internal use AND column to be included in database created by the Digital Lab, E = external",,,,,,,,,"Allows us to identify objects that are duplicated in the database, and link Digital Lab-generated ID#s to the objects in this spreadsheet",These are the titles of the objects; can include terms in search filter; include on blade,This column lets us know what work needs to be done for the object to be web-ready ,"Part of algorthim prompting updates to content, so the appropriate person is alerted/contacted",Use for algorithm to prompt updates to objects. These would be back-up people to support updates,"only relevant when the object is not yet web-ready, or needs revisions (does not need to be part of database). ",internal use to allow us to track progress on updates to make objects web-ready,For new or not yet updated content: ,Include in algorithm to prompt updates so we know where to go  (i.e. the program is responsible for maintaining the object),Info to include on blade,Info to include on blade,Exclude from search terms; Content - include on blade,Exclude from search term; Content - include on blade,Exclude from search terms; Include on blade to allow users to access the external resource,For algorithm to prompt us to update object for currency,Primary toggle/filter,Advanced search/filter,,For internal use so the person uploading the resource knows what type of file format to save it in or look for to upload,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Content to include on blade; exclude from search terms,Filter,Filter,Search terms,Filter,Toggle for audience (clinician vs. family),Recommended for you' tag (algorithm for proposing new resources for the user to explore),For internal use in the database.,Used within algorithm to prompt updates to objects - directs us to the relevant content expert,Filter,This information can populate a field on the 'blades' for each object,This is the order of resources as of 2021Sep9. Delete this when it's not needed anymore,Thumbnail images for each object for users to see when browsing,Content - object 'rating' based on accessibility characteristics. Rating levels TBD. Could be on the blades or could be an icon on the thumbnail view (advise as to which is best approach),"Exclude from search terms; filter, could be part of advanced search; can include as info on blade",
Vetting completed to criteria 4: objectivity/conflict of interest,,,,,,,,,979,Therapeutic Recreation: Sunny Hill Health Centre,Web-ready,Maddy,,,,,,"Internal, Sunny Hill Health Centre",Sunny Hill Health Centre,,,http://www.bcchildrens.ca/our-services/sunny-hill-health-centre/our-services/therapeutic-recreation,"September 22, 2021","caregivers, families, clinicians",All,Health-related service,web link,"Services, Supports and Community Resources",,,,,,,,,,"Services, Supports and Community Resources",Our team provides Recreation Therapy services to children with disabilities and their families from across BC,No specific diagnosis,,"music therapy, activities, participation, adaptive equipment, ttherapeutic recreation, recreation, children with disabilties, British Columbia, BC, aquatics, equipment",N,N/A,N/A,,,All,BC,864,,,,
June 23-21,,,,,,,,,980,Therapist Guide for Safe Driving for Power Mobility Learners ,web-ready,Claire/ Debbie,,,,,,"Internal, Child Development & Rehabilitation ","Debbie F. , OT, Roslyn L. , OT, Ivonne M. , OT",2020,,http://www.seatingandmobility.ca/Libraries/Wheeled_Mobility/TherapistsGuideSafePMDriving2020.sflb.ashx,28-May-21, clincians,"OT, PT, HCP students",Handout,Word,Intervention,,,,,,,,,,Intervention,"This Therapist's guide is intended for use by therapists to support a child’s safe learning and use of power mobility at home, in the community and/or school setting. It has been developed by a team of occupational therapists at Sunny Hill Health Centre and is based on current (2020) research and expert clinical opinion. ",those benefitting from power mobility interventions ,"wheelchair use, mobility","power mobility, power wheelchairs, safety, safe driving, therapist guide, learners, checklist, exploratory learners, operational learners, functional learners, implementation, evaluation, skill progression",N,N/A,N/A,,Debbie & Claire,,N/A,961,,,all,
June 23-21,,,,,,,,,980,Therapist Guide for Safe Driving for Power Mobility Learners ,web-ready,Claire/ Debbie,,,,,,"Internal, Child Development & Rehabilitation ","Debbie F. , OT, Roslyn L. , OT, Ivonne M. , OT",2020,,http://www.seatingandmobility.ca/Libraries/Wheeled_Mobility/TherapistsGuideSafePMDriving2020.sflb.ashx,28-May-21, clincians,"OT, PT, HCP students",Handout,Word,Assessment,,,,,,,,,,Assessment,"This Therapist's guide is intended for use by therapists to support a child’s safe learning and use of power mobility at home, in the community and/or school setting. It has been developed by a team of occupational therapists at Sunny Hill Health Centre and is based on current (2020) research and expert clinical opinion. ",those benefitting from power mobility interventions ,"wheelchair use, mobility","power mobility, power wheelchairs, safety, safe driving, therapist guide, learners, checklist, exploratory learners, operational learners, functional learners, implementation, evaluation, skill progression",N,N/A,N/A,,Debbie & Claire,,N/A,962,,,all,
Vetting completed to criteria objectivity/conflict of interest,,,,,,,,,982,Therapy BC,Web-ready,Anosha,,,,,,,,,,https://therapybc.ca/,"August 20,2021","clinicians, researchers, families,",All,Website/page,,,,,,,,,,,,,"TherapyBC website was created to facilitate recruitment and retention of pediatric occupational therapists, physical therapists and speech-language pathologists in publicly funded programs",Not applicable,Not applicable,"therapy, training, pediatrics, pediatricians, recruitment, employment, occupational therapists,",N,N/A,N/A,,,All,BC,420,,,Introductory,
June 23-21,,,,,,,,,983,"Thunberg, Livingstone, Buchholz, Field. (2021). Chapter 15 Environmental adaptations in Hadders -Algra (ed), Early Detection and Early Intervention in Developmental Motor Disorders (ebook)",web-ready but need to add weblink to book as well as pdf of Chapter,Debbie,,add description and link to both the pdf of Chapter 15 (provided in PMT folder) and weblink for book as agreed as condition of use with publisher. Weblink to book is: http://www.mackeith.co.uk/shop/early-detection-and-early-intervention-in-developmental-motor-disorders-ebook/,,,,Mac Keith Press publisher; SHHC authors,Roslyn L.  & Debbie F. ,2020,,Link to eBook: http://www.mackeith.co.uk/shop/early-detection-and-early-intervention-in-developmental-motor-disorders-ebook/,May 20-21,"clinicians, researchers, families (?)","OT, PT, Drs, HCP students",online book chapter,"webpage, pdf ",Assessment,,,,,,,,,,Assessment,"book chapter on environmental adaptations for children at risk or diagnosed with CP including evidence supporting use of therapeutic equipment for sitting, lying, standing, walking, and communication",cerebral palsy or those at risk,Sitting Posture; Standing; Lying; Walking; Augmented Mobility; Postural Control; Seating; Manual Mobility; Power Mobility; Communication,"gait training; supportive walking; postural support; sitting posture; lying, standing, equipment;prescription; provision; training; environmental considerations; Augmentative and Alternate Communication (AAC); eye gaze technology; switches; assistive technology; computer",N,,,,Debbie,,N/A,1027,,,all,
June 23-21,,,,,,,,,983,"Thunberg, Livingstone, Buchholz, Field. (2021). Chapter 15 Environmental adaptations in Hadders -Algra (ed), Early Detection and Early Intervention in Developmental Motor Disorders (ebook)",web-ready but need to add weblink to book as well as pdf of Chapter,Debbie,,add description and link to both the pdf of Chapter 15 (provided in PMT folder) and weblink for book as agreed as condition of use with publisher. Weblink to book is: http://www.mackeith.co.uk/shop/early-detection-and-early-intervention-in-developmental-motor-disorders-ebook/,,,,Mac Keith Press publisher; SHHC authors,Roslyn L.  & Debbie F. ,2020,,Link to eBook: http://www.mackeith.co.uk/shop/early-detection-and-early-intervention-in-developmental-motor-disorders-ebook/,May 20-21,"clinicians, researchers, families (?)","OT, PT, Drs, HCP students",online book chapter,"webpage, pdf ",Intervention,,,,,,,,,,Intervention,"book chapter on environmental adaptations for children at risk or diagnosed with CP including evidence supporting use of therapeutic equipment for sitting, lying, standing, walking, and communication",cerebral palsy or those at risk,Sitting Posture; Standing; Lying; Walking; Augmented Mobility; Postural Control; Seating; Manual Mobility; Power Mobility; Communication,"gait training; supportive walking; postural support; sitting posture; lying, standing, equipment;prescription; provision; training; environmental considerations; Augmentative and Alternate Communication (AAC); eye gaze technology; switches; assistive technology; computer",N,,,,Debbie,,N/A,1028,,,all,
Was in Evidence Centre e-blast. Vetting completed to criteria objectivity/conflict of interest,,,,,,,,,984,Tips for Trauma-Informed Practice (TIP),,Claire,,,,,,Provincial Health Services Authority,"Dr. Theresa Newlove, R.Psych & Kathryn George, RCC, Psychological
Health and Safety Team, Human Resources.",2020,,http://www.phsa.ca/health-promotion-site/Documents/Covid-19%20PHSA%20News%20-%20Psych%20Health%20and%20Safety/TIP-SERIES-PHSA-Combined-RESOURCE-Final.pdf,"September 7, 2021",Clinicians,All,Info sheet,Non-fillable PDF,Intervention,,,,,,,,,,Intervention,"Tips for TIP is a general introduction and overview of trauma-informed practice. This resource is based
on an edited compilation of the a six part series of TIP articles published Nov-Dec 2020 in the ‘Working
Well’ column of the PHSA News.",no specific diagnosis,,"trauma-informed practice, trauma awareness, principles of trauma-informed practice, trauma, biology, awareness, trauma-informed practice, signs, choice, collaboration, compassion, universal precautions, language, self-awareness, self-care, organization, trauma-informed organization",N,N/A,N/A,,Kim,All,,607,,,,
Was in Evidence Centre e-blast. Vetting completed to criteria objectivity/conflict of interest,,,,,,,,,984,Tips for Trauma-Informed Practice (TIP),,Claire,,,,,,Provincial Health Services Authority,"Dr. Theresa Newlove, R.Psych & Kathryn George, RCC, Psychological
Health and Safety Team, Human Resources.",2020,,http://www.phsa.ca/health-promotion-site/Documents/Covid-19%20PHSA%20News%20-%20Psych%20Health%20and%20Safety/TIP-SERIES-PHSA-Combined-RESOURCE-Final.pdf,"September 7, 2021",Clinicians,All,Info sheet,Non-fillable PDF,Background (learn about a health condition),,,,,,,,,,Background (learn about a health condition),"Tips for TIP is a general introduction and overview of trauma-informed practice. This resource is based
on an edited compilation of the a six part series of TIP articles published Nov-Dec 2020 in the ‘Working
Well’ column of the PHSA News.",no specific diagnosis,,"trauma-informed practice, trauma awareness, principles of trauma-informed practice, trauma, biology, awareness, trauma-informed practice, signs, choice, collaboration, compassion, universal precautions, language, self-awareness, self-care, organization, trauma-informed organization",N,N/A,N/A,,Kim,All,,607,,,,
June 23-21,,,,,,,,,985,Tissue Viability Toolkit ,web-ready,Debbie,,,,,,Healthcare Improvement Scotland,,,,http://www.healthcareimprovementscotland.org/our_work/patient_safety/tissue_viability.aspx,May 28-21,"clinicians, researchers","OT, PT, Dr, Nurse, HCP students",webpage,"webpage, weblnks, pdf, ",Assessment,,,,,,,,,,Assessment,"Online toolkit hosts resources for risk assessment, pressure ulcer grading, education and standards",those that encompass restricted body movement or who are at risk for pressure ulcers,Skin Health; Pressure injury Prevention and Management; Sitting Posture; Lying Posture; Seating; Wheelchair Use;,"pressure injury; pressure sore; pressure ulcer; wounds; measurement, evaluation, ",Y,,,Current SeatingandMobility.ca topic/webpage: Pressure Management Guidelines,Debbie,,N/A,788,,,all,
June 23-21,,,,,,,,,985,Tissue Viability Toolkit ,web-ready,Debbie,,,,,,Healthcare Improvement Scotland,,,,http://www.healthcareimprovementscotland.org/our_work/patient_safety/tissue_viability.aspx,May 28-21,"clinicians, researchers","OT, PT, Dr, Nurse, HCP students",webpage,"webpage, weblnks, pdf, ",Intervention,,,,,,,,,,Intervention,"Online toolkit hosts resources for risk assessment, pressure ulcer grading, education and standards",those that encompass restricted body movement or who are at risk for pressure ulcers,Skin Health; Pressure injury Prevention and Management; Sitting Posture; Lying Posture; Seating; Wheelchair Use;,"pressure injury; pressure sore; pressure ulcer; wounds; measurement, evaluation, ",Y,,,Current SeatingandMobility.ca topic/webpage: Pressure Management Guidelines,Debbie,,N/A,789,,,all,
,,,,,,,,,986,Tone Management: Sunny Hill Health Centre,Web-ready,Maddy,N/A,,,,,"Internal, Sunny Hill Health Centre",Sunny Hill Health Centre,,© 2021,http://www.bcchildrens.ca/our-services/sunny-hill-health-centre/our-services/tone-management,4-Jun-21,"families, caregivers, clinicians",All,Website/page,web link,Assessment,,,,,,,,,,Assessment,Diagnostic assessments for children with problems with tone or tension in their muscles,various disabilities,,"assessment, tone, tension, muscle, neuromotor, hypertonia,  dystonia, spasms, cerebral palsy, brain injury ",N,N/A,N/A,,,,N/A,838,,,,
"June 22, 2021",,,,,,,,,987,Tool Kit: Autism Speaks Canada,Ready for Upload,Tanja,,Add,n/a,2-Jun-21,,Autism Speaks,Autism Speaks,,2021,https://www.autismspeaks.ca/science-services-resources/resources/tool-kits/,2-Jun-21,"Families, clinicians, educators",all,Website,Web,"Services, Supports and Community Resources",,,,,,,,,,"Services, Supports and Community Resources","Series of resources on a variety of topics to help children with ASD, their families as well as educators and clinicians who work with them.  ",Autism,varied,"autism, asd, autism spectrum disorder",yes,Yes,N,,Cathy P. ,,Canada,231,,,Beginner,
,,,,,,,,,987,Tool Kit: Autism Speaks Canada,Ready for Upload,Tanja,,Add,n/a,2-Jun-21,,Autism Speaks,Autism Speaks,,2021,https://www.autismspeaks.ca/science-services-resources/resources/tool-kits/,2-Jun-21,"Families, clinicians, educators",all,Website,Web,Assessment,,,,,,,,,,Assessment,"Series of resources on a variety of topics to help children with ASD, their families as well as educators and clinicians who work with them.  ",Autism,varied,"autism, asd, autism spectrum disorder",yes,Yes,N,Canada,Cathy P.,,N/A,826,,,Beginner,
"Jun 22, 2021",,,,,,,,,987,Tool Kit: Autism Speaks Canada,Ready for Upload,Tanja,,Add,n/a,2-Jun-21,,Autism Speaks,Autism Speaks,,2021,https://www.autismspeaks.ca/science-services-resources/resources/tool-kits/,2-Jun-21,"Families, clinicians, educators",all,Website,Web,Intervention,,,,,,,,,,Intervention,"Series of resources on a variety of topics to help children with ASD, their families as well as educators and clinicians who work with them.  ",Autism,varied,"autism, asd, autism spectrum disorder",yes,Yes,N,Canada,Cathy P.,,N/A,1067,,,Beginner,
June 23-21,,,,,,,,,988,Top 10 Tips for Partner Assisted Scanning - ,web-ready,Debbie,,,,,,UNC School of Medicine Center for Literacy and Disability Studies,,,,https://www.med.unc.edu/ahs/clds/resources/deaf-blind-model-classroom-resources/partner-assisted-scanning,June 7-21,"families, caregivers, clinicians, educators","SLP, OT, psychologist, PT, Dr, nurse, social worker, recreation therapist, HCP students",webpage,"webpage, pdf, ","Services, Supports and Community Resources",,,,,,,,,,"Services, Supports and Community Resources",10 tips for partner-assisted scanning ,"those that have communication difficulties with motor, cognitive and/or sensory impairments ","assistive device use, communication, learning, ","assistive technology, augmentative and alternate communication (AAC),  education, partner assisted scanning, choice-making",N,,,,Debbie,,N/A,1228,,,all,
June 23-21,,,,,,,,,988,Top 10 Tips for Partner Assisted Scanning - ,web-ready,Debbie,,,,,,UNC School of Medicine Center for Literacy and Disability Studies,,,,https://www.med.unc.edu/ahs/clds/resources/deaf-blind-model-classroom-resources/partner-assisted-scanning,June 7-21,"families, caregivers, clinicians, educators","SLP, OT, psychologist, PT, Dr, nurse, social worker, recreation therapist, HCP students",webpage,"webpage, pdf, ",Intervention,,,,,,,,,,Intervention,10 tips for partner-assisted scanning ,"those that have communication difficulties with motor, cognitive and/or sensory impairments ","assistive device use, communication, learning, ","assistive technology, augmentative and alternate communication (AAC),  education, partner assisted scanning, choice-making",N,,,,Debbie,,N/A,1229,,,all,
,,,,,,,,,989,Training and Community Engagement: Canucks Autism Network,Web-ready,Claire,N/A,,,,Autism,Canucks Autism Network,Canucks Autism Network,,©2021,https://www.canucksautism.ca/training-community-engagement/,"September 7, 2021","families, caregivers, clinicians, educators, first responders",All,e-learning module/course,web link,Background,,,,,,,,,,Background,Information about training and community engagement,autism,,"sport, recreation, community spaces, first responders, schools, training, video resource library, visual supports, tip sheets, individualized consultation, resource development",Y,N/A,N/A,,,N/A,BC,586,,,N/A,
Vetting completed to criteria objectivity/conflict of interest,,,unknown,unsure if you have to pay,,,,,989,Training and Community Engagement: Canucks Autism Network,Web-ready,Claire,N/A,,,,,"External, Canucks Autism Network",Canucks Autism Network,,©2021,https://www.canucksautism.ca/training-community-engagement/,"July 27, 2021","families, caregivers, clinicians, educators, first responders",All,Website/page,web link,Community supports & resources,,,,,,,,,,Community supports & resources,Information about training and community engagement,autism,,"sport, recreation, community spaces, first responders, schools, training, video resource library, visual supports, tip sheets, individualized consultation, resource development",Y,N/A,N/A,,,All,BC,44,,,N/A,
Was in Evidence Centre e-blast. Vetting completed to criteria objectivity/conflict of interest,,,,,,,,,990,Training and Resources: The BC Association for Child Development and Intervention,,Claire,,,,,,The BC Association for Child Development and Intervention,The BC Association for Child Development and Intervention,,,BCACDI | Resources for Parents & Professionals | Training Resources,"September 7, 2021",Clinicians,All,Website/page,web link,Intervention,,,,,,,,,,Intervention,"Repository of resources in the areas of: Indigenous cultural safety, trauma informed practice and brain science.",no specific diagnosis,,"Indigenous cultural safety, trauma informed practice, brain science, Trauma Informed Practice (TIP), Cultural Safety Training, webinars, online courses, reports, videos, resources",Y,N/A,N/A,,Kim,All,,609,,,,
Was in Evidence Centre e-blast. Vetting completed to criteria objectivity/conflict of interest,,,,,,,,,990,Training and Resources: The BC Association for Child Development and Intervention,,Claire,,,,,,The BC Association for Child Development and Intervention,The BC Association for Child Development and Intervention,,,BCACDI | Resources for Parents & Professionals | Training Resources,"September 7, 2021",Clinicians,All,Website/page,web link,Background (learn about a health condition),,,,,,,,,,Background (learn about a health condition),"Repository of resources in the areas of: Indigenous cultural safety, trauma informed practice and brain science.",no specific diagnosis,,"Indigenous cultural safety, trauma informed practice, brain science, Trauma Informed Practice (TIP), Cultural Safety Training, webinars, online courses, reports, videos, resources",Y,N/A,N/A,,Kim,All,,609,,,,
Vetting completed to criteria objectivity/conflict of interest. Follow-up re: fee associated,,,unsure,fee associated,,,,,991,Training: Appetite to Play ,Web-ready,Claire,,,,,,"External, Appetite to Play",Appetite to Play,,,https://appetitetoplay.com/training,,clinicians,all,Workshop,web link,Community Supports and Services,,,,,,,,,,Community Supports and Services,"Appetite to Play offers a variety of training resources for early years providers to enhance their knowledge, skills and confidence in creating childcare settings that support healthy eating, physical activity, food and physical literacy. We also have a new module on Outside Play and Risky Play in the Early Years.",,,"food/physical activity in-person workshop food/physical activity online workshop, outside/risky play online workshop, healthy eating e-learning module, physical literacy e-learning module",Y,N,N,,,All,BC,376,,,,
Vetting completed to criteria objectivity/conflict of interest,,,unknown,,,,,,992,Transition Planning for Youth and Young Adults: Services to Adults with Developmental Disabilities,Web-ready,Maddy,N/A,,,,,"External, Government of BC",Government of BC,,© 2021,https://www2.gov.bc.ca/gov/content/family-social-supports/services-for-people-with-disabilities/transition-planning-for-youth-young-adults,10-Jun-21,"families, caregivers, clinicians, children/youth",All,Community program,web link,Community Supports and Services,,,,,,,,,,Community Supports and Services,Service for people with developmental disabilities to ease the transition into adulthood. Information on the navigator program to help youth and young adults transition to adult services,"autism spectrum disorder (ASD), fetal alcohol spectrum disorder (FASD), developmental disability",,"transition, adulthood, youth, navigator, planning, future, goals, support, fasd, asd, developmental disability, information about transitions",N,N,N,,Tanja,"School Age, Youth",BC,250,,,,
Vetting completed to criteria objectivity/conflict of interest,,,,,,,,,993,Transition Resource Guide for Students with Disabilities,Web-ready,Maddy,,,,,,"External, Transition Resource Guide",Transition Resource Guide,,© 2021,https://www.transitionresourceguide.ca/resources,03-Aug-21,"families, caregivers, children/youth, clinicians, educators",All,Website/page,Web link,Community Supports and Services,,,,,,,,,,Community Supports and Services,Information for youth with disabilities before they head off to college or university,,,"transition, college, university, financial aid, advocacy, education, applying, choosing, rights, responsibilities, accessibility services, residence, campus",N,N,N,Ontario specific?,,Youth,Canada,316,,,Introductory,
Vetting completed to criteria objectivity/conflict of interest,,,,,,,,,994,Transition to Adult Care,Ready for upload,Tanja,,add,n/a,26-May-21,,"Internal, BC Children's Hospital","Internal, BC Children's Hospital",?,2021,http://www.bcchildrens.ca/our-services/support-services/transition-to-adult-care,23-Aug-21,"Clinicians, Educators, families, caregivers, children/youth",All,Website/page,web link,"community supports and services,",,,,,,,,,,"community supports and services,","The goal of transition to adult care is to support youth with special health care needs and their families or caregivers to gain the confidence, skills and knowledge  to be ready to enter the adult health care system",Varied,transition,"transition, youth, adult, services, information about transitions, navigating the health care system, youth with special health care needs, adult health care system, health care providers, toolkit, pediatric health care system",Y,Y,N,,Bill M.,"Youth, School Age",BC,20,,,Introductory,
,,,,,,,,,995,Transition to adult services passport,Does not appear to be in inventory. Do we know what this is?,Maddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441,,,,
"Inquire with Steph re: audience, resource type (info sheet or handout?), health condition, functional area (? feeding),  target audience and profession.",,,unsure (?2020),,,,,,996,Transitional Foods: Sunny Hill Health Centre,,Claire,,,,,,"Internal, Sunny Hill Health Centre ",Sunny Hill Health Centre,,,>family portal>content by discipline> dietician,,"families, caregivers, clinicians",all,Handout,Non-fillable PDF,Intervention,,,,,,,,,,Intervention,Information about transitional foods,,,"transitional foods, texture, examples",N,N,N,,Cathy F. ,All,,1370,,,,
Vetting completed to criteria objectivity/conflict of interest,,,unknown,unknown,,,,,997,Transitioning to Adult Care for Youth with Chronic Health Conditions and Disabilities,Ready for upload,Tanja,,add,n/a,26-May-21,,Doctors of BC & MOH Specialist Services Committee,Sandy Whitehouse,?,?,https://elearning.ubccpd.ca/enrol/index.php?id=37,27-Jul-21,Clinicians,All,e-learning module,e-learning module,"community supports and services,",,,,,,,,,,"community supports and services,",E-learning module created to educate health providers on ways to better facilitate the continuity of care for youth with chronic health conditions and disabilities who are transitioning from paediatric care to the adult care system,Varied,transition,"transition, youth, adult, services, information about transitions",Y,N,N,,Tanja,"Youth, School Age",BC,21,,,Introductory,
Double check re: can we say guideline if it is a guide?,,,2021,,,,,,998,Transitioning to High School: A Guide for Parents of Children with Diverse Abilities,,Claire,,,,,,"External, BC Centre for Ability",BC Centre for Ability,,,https://bc-cfa.org/wp-content/uploads/2021/03/BCCFA-Transitioning-to-High-School-Guide.pdf,"September 1, 2021","families, caregivers, clinicians, educators, children/youth",All,Guideline,Non-fillable PDF,"Services, Supports and Community Resources",,,,,,,,,,"Services, Supports and Community Resources","This guide is meant to help prepare yourself and your child for this transition, so you feel confident and equipped throughout the process. The guide is broken down into three sections and finishes with recommended resources for you to access. ",various disabilities,,"transitioning, high school, school, parents, children, families, caregivers, preparing, school process, mental wellness, mental health, planning, programs, program options, elementary school, diverse needs, disabilties, timeline, individual education plan, IEP, curriculum, adolescents, mood, mindfulness, safety online, screen time, resources",N,N,N,,Mandy Y. ,"School Age, Youth",,1377,,,,
Vetting completed to criteria objectivity/conflict of interest,,,unknown,,,,,,999,Transitions Timeline,Web-ready,Claire,N/A,,,,,"External, Family Support Institute of BC",Family Support Institute of BC,,©2016,https://findsupportbc.com/timeline/,"July 27, 2021"," families, caregivers, clinicians",All,Website/page,web link,Community supports & resources,,,,,,,,,,Community supports & resources,A tool with items related to different age ranges.,All,,"funding, supports, school, resources, information about transitions",N,N/A,N/A,,,All,BC,33,,,Introductory,
Vetting completed to criteria objectivity/conflict of interest,,,unsure,,,,,,1000,Transitions: BC Family Hearing Resource Society ,Web-ready,Claire,,,,,,"External, BC Family Hearing Resource Society",BC Family Hearing Resource Society,,,http://www.bcfamilyhearing.com/families/transitions/,"August 9, 2021","families, caregivers, clinicians, educators",,Program,web link,Community Supports & Services,,,,,,,,,,Community Supports & Services,Information about transition support services,"deaf, hard-of-hearing",,"transitions, Consultation to daycares and preschools, Access to our Daycare, Preschool & Kindergarten Transition Packages, Connection to other families, who have navigated these transitions, through our P2P Support Network, Access to our in-centre provincial library and online resources, deaf, hard-of-hearing, kindergarten, concern, uncertainty, families, school entry, navigate, school system, parent, Access to our PEER Kindergarten Transition Program.  This involves evening sessions for parents, over the course of 6 months, culminating in a 3-day workshop for both parents and their children, Access to our Kindergarten Transition Booklet, written specifically for parents of children who are deaf and hard-of-hearing, Support in selecting the appropriate educational path, as well as through the registration process, Interventionist attendance at the school-based initial pre-Kindergarten meeting and first Individualized Education Plan (IEP) session",Y,N,N,,,"Infant/Toddler, Early Years",BC,408,,,,
Vetting completed to criteria objectivity/conflict of interest,,,,,,,,,1001,Translating Emergency Knowledge for Kids,Web-ready,Maddy,,,,,,"External, Translating Emergency Knowledge for Kids",Translating Emergency Knowledge for Kids,,© 2021,https://trekk.ca/healthconsumers,06-Aug-21,"families, caregivers, children/youth, clinicians, educators",All,Website/page,web link,Community Supports & Services,,,,,,,,,,Community Supports & Services,Tools designed to help families and caregivers care for their sick children at home and understand when to seek medical care,,,"knowledge translation, emergency, hospital, tools, videos",N,N,N,,,All,BC,427,,,Introductory,
Vetting completed to criteria objectivity/conflict of interest,,,unsure,,,,,,1002,Transportation for children with special needs,Web-ready,Claire,,,,,,"Internal, BC Children's Hospital",BC Children's Hospital,,,http://www.bcchildrens.ca/health-info/healthy-living/child-safety/transportation-for-children-with-special-needs,"August 5, 2021","families, caregivers, clinicians",,Website/page,web link,Community Supports and Services,,,,,,,,,,Community Supports and Services,"This resource is designed for parents, caregivers, and professionals who are involved in the transportation of infants, children, and youth with special needs in British Columbia, Canada.",various disabilities,,"wheelchair users, pre-term and low-weight infants, children and youth with muscle-tone and postioning problems, Children and youth with behavioural issues, Infants, children and youth in casts, Orthopedic patients, Children with seizure disorder, tracheostomy, cardiac or respiratory issues, car seats, strollers, wheelchairs, accessories, equipment, community transportation and accessibility, student transportation plans, roles and responsibilities of caregivers and professionals, BC laws",N,N,N,,,All,BC,375,,,,
June 23-21,,,Needs to be updated ,,,,,,1003,Treadmill training for children with motor impairments,Needs updating; create link to updated resource once complete,Tanja M.,,Update; saved search; brief overview; tags,,Need to determine priority order,,Sunny Hill,"Tanja M.  , PT",2007,2012,N/A,N/A,Clinicians,"PT, OT",E4P Synthesis,PDF,Intervention,,,,,,,,,,Intervention,Summary of evidence on the effectiveness of treadmill training in children with motor impairments,Motor Impairments,"mobility, communication, swallowing, cognition, hearing, vision, bowel, bladder, bone health, sleep",,N,N,N,,,,N/A,912,,,Advanced ,
Ask Kim about ,Substance use and addiction,,,,,,,,1004,Treatment Access BC,web ready,Claire,N/A,,,,,"External, Treatment Access BC",Treatment Access BC,,,https://treatmentaccess.ca/,"May 24th, 2021","Children/youth, families, caregivers, clinicians, educators",All,Website/page,web link,Community supports & resource,,,,,,,,,,Community supports & resource,Information about addiction services in British Columbia,All,,"navigating the health care system, family member, client, patient ",N,N/A,N/A,,,,BC,128,,,N/A,
Vetting completed to criteria objectivity/conflict of interest. Follow-up re: currency,,,unsure,,,,,,1005,Treatment of Brachial Plexus Palsy,Web-ready,Maddy,,,,,,BC Children's Hospital,BC Children's Hospital,,,https://bcchr.ca/brachial-plexus,"September 22, 2021","families, caregivers, clinicians",All,Website/page,web link,Intervention,,,,,,,,,,Intervention,Information about the treatment of Brachial Plexus Palsy and the BC Children's Hospital Brachial Plexus Clinic,"brachial plexus palsy, brachial plexus injury",,"brachial plexus palsy, brachial plexus injury, BC Children's Hospital, BC Children's Hospital Brachial Plexus Clinic, research, families, clinicians, references, contact",N,N/A,N/A,,,,,854,,,,
"Jun 22, 2021",,,,,,,,,1006,Treatment resources from the CP Alliance About Cerebral Palsy website,Ready for upload,Tanja,,Check link,N/A,13-May-21,,CP Alliance,CP Alliance,2018,2018,https://cparf.org/what-is-cerebral-palsy/severity-of-cerebral-palsy/treatments-interventions-for-cerebral-palsy/,,"Clinicians, families",All,Web,Web,Intervention,,,,,,,,,,Intervention,Treatment (interventions) for CP,Cerebral palsy,"mobility, communication, swallowing, cognition, hearing, vision, bowel, bladder, bone health, sleep",cerebral palsy,N,Y,,,Diane W. ,,N/A,943,,,Beginner,
June 23-21,,,,,,,,,1007,Try Power - Nossa Cassa,web-ready,Debbie,,,,,,Ginny Paleg,,2021,,https://www.youtube.com/watch?v=FDThW3qVlKc,June 10-21,"Families, Caregivers, Clinicians, Educators",all,You Tube video,video file,Intervention,,,,,,,,,,Intervention,two different parents of children with cerebral palsy share their perspectives on introducing power mobility for their children and how their attitudes and lives have been enriched with their children's use of power mobility. Ginny Paleg PT summarizes what we know from research supporting power mobility use,cerebral palsy,"Assistive Device Use; Mobility, Learning; Participation, Wellbeing","wheelchair; mobility; equipment; training; education, safety, participation, well-being, development, growth, benefits ",Y,,,,Debbie,,N/A,1309,,,all,
