,,,,,,,,,"Allows us to identify objects that are duplicated in the database, and link Digital Lab-generated ID#s to the objects in this spreadsheet",These are the titles of the objects; can include terms in search filter; include on blade.,This column lets us know what work needs to be done for the object to be web-ready ,"Part of algorthim prompting updates to content, so the appropriate person is alerted/contacted",Use for algorithm to prompt updates to objects. These would be back-up people to support updates,"only relevant when the object is not yet web-ready, or needs revisions (does not need to be part of database). ",internal use to allow us to track progress on updates to make objects web-ready,For new or not yet updated content: ,Include in algorithm to prompt updates so we know where to go  (i.e. the program is responsible for maintaining the object),Info to include on blade,Info to include on blade,Exclude from search terms; For internal use only (no longer to appear on the blade),Exclude from search term; Content - include on blade,Exclude from search terms; Include on blade to allow users to access the external resource,For algorithm to prompt us to update object for currency,,"No longer using this tag, in order to simplify the user experience",This info appears on the blade but no longer being used as a filter in order to simplify the user experience,For internal use so the person uploading the resource knows what type of file format to save it in or look for to upload,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,For team to reference when tagging information hierarchy,Content to include on blade; exclude from search terms,Filter,Filter,Search terms,Filter,Toggle for audience (clinician vs. family),Recommended for you' tag (algorithm for proposing new resources for the user to explore),For internal use in the database.,Used within algorithm to prompt updates to objects - directs us to the relevant content expert,Filter,This information can populate a field on the 'blades' for each object,This is the order of resources as of 2021Sep9. Delete this when it's not needed anymore,Thumbnail images for each object for users to see when browsing,Content - object 'rating' based on accessibility characteristics. Rating levels TBD. Could be on the blades or could be an icon on the thumbnail view (advise as to which is best approach),"Exclude from search terms; filter, could be part of advanced search; can include as info on blade",
"See Debbie's note in the ""Notes"" column",,,,,,,,,950,The Centre for Child Development,Web-ready,Claire,N/A,,,,,External,The Centre for Child Development,,© 2021,https://the-centre.org/,"Yes, May 25th, 2021","families, caregivers, children/youth, clinicians",All,Website/page,web link,,,,,,,,,,,Community supports & resources,Programs and services for children with a range of abilities and conditions,various disabilities,,"communication therapy, developmental medicine, eating skills, equipment, occupational therapy, physiotherapy, psychology, recreation therapy, community treatment services",N,N/A,N/A,"Debbie: Don't know if this one is appropriate, may be better to include as BC Association for Child Development and Intervention  (https://www.bcacdi.org/) where families can find a centre near to them in BC (rather than listing specific centres)",Leslie L. ,,BC,81,,,N/A,
Ask Kim about re: relevance. Is this within scope?,,,,,,,,,951,The Child Protection Process: Legal Services Society ,,Claire,,,,,,External,,,,https://lss.bc.ca/publications/pub/child-protection-process-flow-chart-poster,,,,,,,,,,,,,,,,,,,,,,,,,Mandy Y. ,,,1379,,,,
,,,,,,,,,952,The Diagnosis: A Podcast by Hearing First ,web-ready,Claire,N/A,,,,,External,Hearing First,,©2021,https://www.hearingfirst.org/powering-potential-podcast/b/powering-potential-podcast/posts/the-diagnosis,8-Jun-21,"families, caregivers, clinicians",all,Audio recording,web link,,,,,,,,,,,Assessment,A podcast about the diagnosis of hearing loss for your child. Includes a transcript.,various disabilities,"speech, language","takes a turn, surprise, incredible journey",N,N/A,N/A,,Sunny Hill SLPs,,N/A,844,,,all,
11 May 2022,,,,,,,Y,Y,953,The Disability Tax Credit Help Sheet: Disability Alliance BC,Web-ready,Claire/Salina,,,,,,External,Disability Alliance BC,October 2021,2022,https://disabilityalliancebc.org/hs14/,11-May-22,"Families, caregivers, clinicians",,Handout,Non-fillable PDF,"Services, Supports & Community Resources",Funding and Financial Supports,Government Funding and Programs,--,,,,,,,"Services, Supports, and Community Resources",Help sheet about the Disability Tax Credit,All,Other,"disability tax credit, funding/financial supports, help sheet, information, bc disability benefits, british columbia",N,N,N,,Karen H. ,All,BC,23,,,,
Vetting completed to criteria objectivity/conflict of interest,,,a lof of the linked resources exceed the criteria of within the last 5 years. ,,,,Y,,954,The Expanded Core Curriculum: Provincial Resource Centre for the Visually Impaired,Tagging,Maddy,N/A,,,,,External,Provincial Resource Centre for the Visually Impaired,,,https://www.prcvi.org/resources/the-expanded-core-curriculum/,Jun-15-21,"families, caregivers",All,Website/page,web link,,,,,,,,,,,Community Services,Information and resources to promote skill building in the nine essential skill areas for children with visual impairment,visual impairment,,"blind, visual impairment, skills, social interaction, recreation, leisure, sensory efficiency, compensatory, technology, orientation, mobility",N,N/A,N/A,,Jen E.,,,286,,,,
Jun-15-21,,,a lof of the linked resources exceed the criteria of within the last 5 years. ,,,,Y,,954,The Expanded Core Curriculum: Provincial Resource Centre for the Visually Impaired,Tagging,Maddy,N/A,,,,,External,Provincial Resource Centre for the Visually Impaired,,,https://www.prcvi.org/resources/the-expanded-core-curriculum/,Jun-15-21,"families, caregivers",All,Website/page,web link,,,,,,,,,,,Intervention,Information and resources to promote skill building in the nine essential skill areas for children with visual impairment,visual impairment,,"blind, visual impairment, skills, social interaction, recreation, leisure, sensory efficiency, compensatory, technology, orientation, mobility",N,N/A,N/A,,Jen E.,,,287,,,,
Vetting completed to criteria objectivity/conflict of interest,,,2014,,,,,,955,The Explosive Child,Web-ready,Steph,N/A,,,,"Internal, Family Support and Resource Centre",Internal,Ross W. Greene,2014,,https://bcch.andornot.com/en/permalink/catalog113828,"August 26, 2021","families, caregivers, clinicians",All,Book (print),web link,,,,,,,,,,,Community supports & resources,This book describes a more contemporary approach to understanding and helping 'easily frustrated' children at home and at school ,"autism, oppositional defiant disorder",behaviour,"frustration, temper, parenting",N,N/A,N/A,,Armansa G./ Michelle L./ Steph G. ,All,,98,,,N/A,
,,,1992,,,,,,956,The Family Empowerment Scale,,Claire,,,,,,External,"Koren, DeChillo, & Friesen, Regional Research Institute, Portland State University ",1992,,http://www.childdevelopment.ca/Libraries/Collaborative_Goal_Setting/Family_empowerment_scale.sflb.ashx,"July 7, 2021","clinicians, families, caregivers",all,Assessment form,pdf (.ashx),,,,,,,,,,,Assessment & measures,"The Family Empowerment Scale, scoring directions and studies using or citing the Family Empowerment Scale",various disabilities,,"family, child's services, community, activities, parents",N,N/A,N/A,,,,N/A,873,,,original source,
,,,,,,,,,957,The Gallaudet Children‘s Dictionary of American Sign Language,web-ready,Claire,N/A,,,,,External,The Gallaudet Children‘s Dictionary of American Sign Language,,©2020,https://gcdasl.com/,8-Jun-21,"families, caregivers",all,Website/page,web-link,,,,,,,,,,,"Services, Supports and Community Resources",The Gallaudet Children‘s Dictionary of American Sign Language is a bilingual dictionary that will teach American Sign Language and increase and improve English vocabulary skills. The online version has over a thousand videos of sign vocabulary!,"various disabilities, hearing impairment",language,"hardcover, online video, deaf, hearing impairment, sign language, dictionary, vocabulary, words, sentences, videos",N,N/A,N/A,,,,,1259,,,all,
,,,,,,,,,957,The Gallaudet Children‘s Dictionary of American Sign Language,web-ready,Claire,N/A,,,,,External,The Gallaudet Children‘s Dictionary of American Sign Language,,©2020,https://gcdasl.com/,8-Jun-21,"families, caregivers",all,Website/page,web-link,,,,,,,,,,,Intervention,The Gallaudet Children‘s Dictionary of American Sign Language is a bilingual dictionary that will teach American Sign Language and increase and improve English vocabulary skills. The online version has over a thousand videos of sign vocabulary!,"various disabilities, hearing impairment",language,"hardcover, online video, deaf, hearing impairment, sign language, dictionary, vocabulary, words, sentences, videos",N,N/A,N/A,,,,,1259,,,all,
"June 22, 2021",,,,,,,Y,Y,958,The Glasgow Structured Approach to Assessment of the Glasgow Coma Scale,Ready for Upload,Tanja,,Add from rolodex,,27-May-21,,External,Sir Graham Teasdale (Glasgow Coma Scale Organization),1974,2015,https://www.glasgowcomascale.org/,27-May-21,Clinicians,All,"Web, video, handout","wev, video file, PDF",,,,,,,,,,,Assessment,practical method for assessment of impairment of conscious level in response to defined stimuli,brain injury,level of consciousness,"brain injury, glasgow coma scale, GCS, assessment, level of consciousness, LOC",Y,N,N,,,,N/A,716,,,original sources,
June 23-21,,,,,,,,,959,The Global Assistive Technology Information Network (EASTIN)- The worldwide search engine on Assistive Technology,web-ready,Debbie,,,,,,External,EASTIN,,,http://www.eastin.eu/en/searches/Products/Index,May 27-21,Families; Clinicians,"OT, PT, HCP students, ",website,"search engine, webpages, weblinks",,,,,,,,,,,"Services, Supports and Community Resources",Worldwide search engine for Assistive Technology products,those needing medical equipment or assistive technologies,equipment database,"assistive technologies, products, wheelchairs, positioning equipment for sitting, lying, standing, ",no,,,,Debbie,,,186,,,all,
June 23-21,,,,,,,,,959,The Global Assistive Technology Information Network (EASTIN)- The worldwide search engine on Assistive Technology,web-ready,Debbie,,,,,,External,EASTIN,,,http://www.eastin.eu/en/searches/Products/Index,May 27-21,Families; Clinicians,"OT, PT, HCP students, ",website,"search engine, webpages, weblinks",,,,,,,,,,,Intervention,Worldwide search engine for Assistive Technology products,those needing medical equipment or assistive technologies,equipment database,"assistive technologies, products, wheelchairs, positioning equipment for sitting, lying, standing, ",no,,,,Debbie,,,187,,,all,
Ask Kim about re: include or not,,,unsure,,,,,,960,The Hanen Centre,Web-ready,Claire,N/A,,,,,External,The Hanen Centre,,© 2016,http://www.hanen.org/Home.aspx,"August 3, 2021","families, caregivers, clinicians, educators",All,Website/page,web link,,,,,,,,,,,Community supports & resources,Early language intervention for children with language delays,language delay,speech,"language, literacy, autism, guidebooks, articles, activities",N,N/A,N/A,,Marilyn N.  ,,Canada-Wide,100,,,N/A,
Vetting completed to criteria objectivity/conflict of interest,,,2002,,,,,,961,The Highly Sensitive Child,Web-ready,Steph,N/A,,,,,External,Elaine N.Aron (AIDE Canada),2002,,https://bcch.andornot.com/en/permalink/catalog123300,"August 26, 2021","families, caregivers, clinicians",All,Book (print),web link,,,,,,,,,,,Community supports & resources,Information about highly sensitive children,,behaviour,"highly sensitive, temperament",N,N/A,N/A,,Armansa G./ Michelle L./ Steph G.,All,,97,,,N/A,
"June 22, 2021",,,,,,,Y,Y,962,The ICF for Parents (P-ICF),Ready for Upload,Tanja,,,N/A,19-May-21,,External,Pranay Jindal et al (CanChild),2021,,https://canchild.ca/en/the-icf-for-parents-p-icf,12-May-22,Families/caregivers,,Video or audio,Movie file,Assessment,Learn About Assessments,Other Assessment Resources,,,,,,,,Assessment,Use of the International Classification of Function in Cerebral Palsy for parents,Cerebral palsy ,All,ICF framework,N,Y,,,,All,N/A,709,,,Beginner,
Vetting completed to criteria objectivity/conflict of interest. Follow-up with Kim re: eligibility,"Appears that they must be 19+ years, but can apply for eligibility at 16: https://www.communitylivingbc.ca/wp-content/uploads/Eligibility-Info-for-Families-Final.pdf ",,unsure,,,,Y,,963,The Individualized Funding Option ,Tagging,Maddy,N/A,,,,,External,Community Living BC,,© 2021,https://www.communitylivingbc.ca/how-do-i-get-support/individualized-funding-option/,26-Aug-21,"families, caregivers, clinicians",All,Website/page,web link,,,,,,,,,,,Community Supports and Services,"Information about the Individualized Funding Option, which allows those eligible for CLBC to direct and customize their support services",,,"Community living, funding, disability, special needs, person-centered, self-directed, support",N,N/A,N/A,,,"School Age, Youth",BC,248,,,,
,,,,,,,,,964,The Informed Speech and Language Pathologist (SLP),web-ready,Claire,N/A,,,,,External,The Informed SLP,,,https://www.theinformedslp.com/,8-Jun-21,Clinicians,SLP,Website/page,web link,,,,,,,,,,,Intervention,Condensed plain language reviews of the most updated SLP research that can be used in practice.,various disabilities,"speech, language","evidence, daily practice, web, print, audio, format, entire scope of practice",N,N/A,N/A,,Sunny Hill SLPs,,N/A,1253,,,all,
Vetting completed to criteria objectivity/conflict of interest,,,,,,,Y,,965,The LowDOWN: A Down Syndrome Podcast,Tagging,Maddy,N/A,,,,,External,Down Syndrome Resource Foundation,,© 2021,https://www.dsrf.org/programs-&-resources/the-lowdown-podcast/,26-May-21,"families, caregivers, children/youth",All,Website/page,web link,,,,,,,,,,,Community supports & resources,Professional perspectives on issues facing individuals with Down Syndrome,down syndrome,,"down syndrome, podcast",Y,N/A,N/A,,,,BC,77,,,N/A,
June 23-21,,,much of content still relevant,,,,,,966,The Manual Wheelchair Training Guide ,web-ready,Debbie,,,,,Positioning Mobility,External,,1998,,https://www.amazon.ca/Manual-Wheelchair-Training-Guide/dp/1882632109,May 31-21,"families, caregivers, educators, clinicians","OT, PT, HCP students",webpage,webpage,,,,,,,,,,,Intervention,"book designed to be used by wheelchair users, their families, friends, caregivers, and anyone else who might need comprehensive information about manual wheelchair skills. The illustrated instructions provide guidance for wheelchair users on how to negotiate indoor environments, obstacles, and outdoor terrain. Although an older publication, many of the concepts are still relevant.",individuals using manual wheelchairs,"wheelchair use, mobility, safety",wheelchair; mobility; equipment; training; safety,N,,,Manual Mobility Wheeling,Debbie,,N/A,1125,,,all,
June 23-21,,,much of content still relevant,,,,,,966,The Manual Wheelchair Training Guide ,web-ready,Debbie,,,,,Positioning Mobility,External,,1998,,https://www.amazon.ca/Manual-Wheelchair-Training-Guide/dp/1882632109,May 31-21,"families, caregivers, educators, clinicians","OT, PT, HCP students",webpage,webpage,,,,,,,,,,,Assessment,"book designed to be used by wheelchair users, their families, friends, caregivers, and anyone else who might need comprehensive information about manual wheelchair skills. The illustrated instructions provide guidance for wheelchair users on how to negotiate indoor environments, obstacles, and outdoor terrain. Although an older publication, many of the concepts are still relevant.",individuals using manual wheelchairs,"wheelchair use, mobility, safety",wheelchair; mobility; equipment; training; safety,N,,,Manual Mobility Wheeling,Debbie,,N/A,1126,,,all,
,,,,,,,Y,Y,967,The Melbourne Assessment 2 (MA2),Ready for upload,Lex,"Tanja, Debbie",,,,,Internal – Evidence Centre,"M Randall, L Johnson, D Reddihough, The Royal Children's Hospital Melbourne Australia",Tool 2012,,see Ax Info Card spreadsheet for associated links,"July 16, 2021",Clinicians,"OT, PT, allied health professionals, medical practitioners, researchers",Assessment Info Card,Ax Toolkit entry,Assessment,Learn About Assessments,Assessment Toolkit,,,,,,,,"Assessment, Diagnosis & Monitoring","evaluates four elements of upper limb movement quality: (i) Range of movement, (ii) Accuracy of reach and placement, (iii) Dexterity of grasp, release and manipulation and (iv) Fluency of movement.","Cerebral palsy , Brain injury, concussion, Developmental delay , Spinal cord injury, spina bifida, Neuromuscular, genetic and rare conditions","Hand, arm use, printing","Range of Movement (Range of Motion), Accuracy of Reach and Placement, Dexterity of Grasp, Release and Manipulation, Fluency of Movement, upper limb movement quality",N,N,N,,Debbie,"School Age (5-19 years), Early Years (0-6 years)",N/A,676,,,Original sources,
"June 22, 2021",,,,,,,Y,Y,968,The Mind Body Connection and Somatization: A Family Handbook (Professional Edition),Ready for upload,Tanja,Jen E. ,add,n/a,26-May-21,,External,"Newlove, Stanford, Chapman, Dhariwal (Kelty Mental Health)",2019,2019,https://keltymentalhealth.ca/sites/default/files/resources/Somatization%20Family%20Handbook%202019.pdf,19-May-22,Clinicians,"Psychologists, Physicians, OT",Handout,Non-fillable PDF,Assessment,Learn About Health Conditions,,,Learn About Assessments,Other Assessment Resources,Assessment Handbooks,,,,"Intervention, background","Background, assessment and treatment strategies for somatization",Mental health,Somatization,"somatization, mental health, mind body connection, emotional awareness, ",N,N,N,,Jen E. ,"N/A, All",N/A,535,,,Advanced,
"June 22, 2021",,,,,,,Y,Y,968,The Mind Body Connection and Somatization: A Family Handbook (Professional Edition),Ready for upload,Tanja,Jen E. ,add,n/a,26-May-21,,External,"Newlove, Stanford, Chapman, Dhariwal (Kelty Mental Health)",2019,2019,https://keltymentalhealth.ca/sites/default/files/resources/Somatization%20Family%20Handbook%202019.pdf,19-May-22,Clinicians,"Psychologists, Physicians, OT",Handout,Non-fillable PDF,Making Treatment Choices,Learn About Health Conditions,,,"Learn About Treatment, Care and Activities",Health Condition-specific Resources,--,,,,"Assessment, background","Background, assessment and treatment strategies for somatization",Mental health,Somatization,"somatization, mental health, mind body connection, emotional awareness, ",N,N,N,,Jen E.,All,N/A,725,,,Advanced,
"May 11, 2022",,,,,,,Y,Y,969,The New Sunny Hill Health Centre at BC Children’s Hospital ,Web-ready,Claire/Salina,,,,,,External,Provincial Health Services Authority,2020,,https://www.youtube.com/watch?v=OlNZg7sM9sU,"May 11, 2022","families, caregivers, clinicians",All,Video or audio,Movie file,"Services, Supports & Community Resources",Find Care and Support Services in BC,Assessment and Treatment Services,BC Children's Hospital and Sunny Hill Health Centre Services,,,,,,,"Services, Supports and Community Resources",Video that provides an introduction to the new Sunny Hill Health Centre at BC Children’s Hospital,,,"Sunny Hill Health Centre, video, introduction, orientation",N,N/A,N/A,,,All,BC,866,,,,
"June 22, 2021",,,,,,,Y,Y,970,The Peer Consult,Web-ready,Tanja,Jen E. ,add,n/a,26-May-21,,External,Stephanie Nelson,2018,2020,https://www.thepeerconsult.com/,12-May-22,Clinicians,Psychologists,Website,web link,Assessment,Learn About Assessments,Other Assessment Resources,,Access Training on Assessments,"Webinars, Presentations, Blogs, and Podcasts",,,,,Assessment,Blog that discusses pediatric psycho-educational assessment and reporting,All,"Thinking, cognition, Other","cognition, psychoeducational assessment, report writing",N,N,N,,,All,N/A,727,,,Advanced,
June 23-21,,,,,,,Y,N,971,General Movement Assessment (Prechtl's)  (GMA),Ready for upload,Debbie/Tanja,,,,,,Internal – Evidence Centre,Heinz FR Prechtl,Tool 1979,Tool 2005,see Ax Info Card spreadsheet for associated links,May 28-21,"Clinicians, researchers","OT, PT, Dr, HCP students",Assessment Info Card,Ax Toolkit Entry,Assessment,Learn About Assessments,Assessment Toolkit,,,,,,,,Assessment,assesses infants' general movements to identify neurological deviations which may lead to a diagnosis of cerebral palsy and other developmental deficits. General movements (GMs) are part of infants' spontaneous movement repertoire and are present from early fetal life onwards until the end of the first half a year of life. ,Cerebral palsy ,"Hand, arm use, printing, Positioning, mobility, lower body, Bone, muscle, skin health","fidgety movements, early detection, prediction, CP, developmental milestones, writhing movements, diagnosis, infant, quality of movement, motor control",N,N,N/A,,Debbie,Infant/Toddler (0-3 years),N/A,814,,,all,
"Video appears to no longer be available. Link leads to a video that is ""private"" and ""unavailable."" Inquire with Kim about if we should remove or not.",,,2013,,,,,,972,"The Role of the Teacher of the Visually Impaired in British Columbia
",,Claire,,,,,,External,"Provincial Resource Centre for the Visually Impaired (PRCVI), PRCVI ARC-BC",,,https://www.youtube.com/watch?v=PkgX32G46bQ,,,,,,,,,,,,,,,,,,,,,,,,,Jen E. ,,N/A,1315,,,,
"Vetting completed to criteria objectivity/conflict of interest. Emailed Sydelle M. re: currency. Sydelle was not familiar with this resource. Ask Kim if we should inquire with another clinician? If so, who?",,,2013,,,,,,973,The Science of Making Friends: Helping Socially Challenged Teens and Young Adults,Web-ready,Steph,N/A,,,,CDBC/Autism?,External,AIDE Canada Library; Family Support and Resource Centre,2013,,https://bcch.andornot.com/en/permalink/catalog123298 ,30-Aug-21,"families, caregivers, children/youth",All,Book,web link,,,,,,,,,,,Community Supports and Services,"Guide for making and keeping friends for teens and young adults with social challenges including autism, ADHD, and other conditions",,social skills,"book, young adult, youth, social skills, friendship, social challenges, autism, ADHD",N,N/A,N/A,,SLPs book list,,Canada,257,,,,
"June 22, 2021",,,,,,,Y,Y,974,The Testing Psychologist,Web-ready,Tanja,Jen E. ,add,n/a,26-May-21,,External,Jeremy Sharp,?,2021,https://www.thetestingpsychologist.com/blog/,12-May-22,Clinicians,Psychologists,Website,web link,Assessment,Learn About Assessments,Other Assessment Resources,,Access Training on Assessments,"Webinars, Presentations, Blogs, and Podcasts",,,,,Assessment,Blog and podcast that discusses pediatric psycho-educational assessment and reporting,All,"Thinking, cognition, Other","cognition, psychoeducational assessment, report writing",N,N,N,,,All,N/A,728,,,Advanced,
June 23-21,,,,,,,,,975,Wheelchair Outcome Measure for Young People (WhOM-YP),Ready for upload,Debbie,,,,,,Internal – Evidence Centre,Debra Field & William C Miller,Tool 2017,,see Ax Info Card spreadsheet for associated links,May 28-21,"clinicians, researchers","OT, PT, HCP students",Assessment Info Card,Ax Toolkit Entry,Assessment,Learn About Assessments,Assessment Toolkit,,,,,,,,Assessment,"evaluates importance of and satisfaction with patient-reported activity and participation outcomes inside and outside home for children aged 18 years and younger who need wheeled mobility interventions. Includes freely available downloadable assessment form, administration instructions, and how-to-use videos of this paediatric version of the Wheelchair Outcome Measure; co-developed by a SHHC therapist. ","Cerebral palsy , Brain injury, concussion, Developmental delay , Spinal cord injury, spina bifida, Neuromuscular, genetic and rare conditions","Hand, arm use, printing, Positioning, mobility, lower body, Assistive technology, Play, recreation, physical activity, Personal care, home routines, Behaviour, emotion, social skills","seating, evaluation, goal-setting, participation, importance, satisfaction, home, school, community, mobility, ",N,N,N/A,,Debbie,All,N/A,757,,,all,
June 23-21,,,,,,,,,976,The Wheelchair Outcome Measure for Young People (WhOM-YP): modification and metrics for children and youth with mobility limitations,web-ready,Debbie,,,,,,Internal,Debbie F. ,2020,,https://www.tandfonline.com/doi/abs/10.1080/17483107.2020.1774811,May 28-21,"clinicians, researchers","OT, PT, HCP students",weblink to journal article,pdf,,,,,,,,,,,Intervention,research article describing development and evaluation of the Wheelchair Outcome Measure for Young People (WhOM-YP),those benefiting from seating and mobility interventions,Mobility; Wheelchair Use; Participation,"sitting ability, seating, sitting balance, postural support, measurement, evaluation, goal-setting, participation, importance, satisfaction, home, school, community activities",N,,,,Debbie,,N/A,758,,,all,
Talk to Kim about re: include or not,,,,,,,,,977,The White Hatter ,Web-ready,Claire,N/A,,,,,External,The White Hatter,,© 2017,https://www.thewhitehatter.ca,"Yes, May 28th, 2021 (trouble opening on citrix)","families, caregivers, educators",All,Website/page,web link,,,,,,,,,,,Community supports & resources,Internet safety presentations for in schools,All,,"privacy, security",N,N/A,N/A,,Miranda D.,,BC,113,,,N/A,
,,,,,,,,,978,Therapeutic Horseback Riding,,Erin,Amber P./Andrea,Integrate evidence and update for currency,,,,,,,,,,,,,,,,,,,,,,,,Intervention,,,,,,,,,,,,,,,,
Vetting completed to criteria 4: objectivity/conflict of interest,,,,,,,Y,,979,Therapeutic Recreation: Sunny Hill Health Centre,Tagging,Maddy,,,,,,Internal,Sunny Hill Health Centre,,,http://www.bcchildrens.ca/our-services/sunny-hill-health-centre/our-services/therapeutic-recreation,"September 22, 2021","caregivers, families, clinicians",All,Health-related service,web link,,,,,,,,,,,Intervention,Our team provides Recreation Therapy services to children with disabilities and their families from across BC,No specific diagnosis,,"music therapy, activities, participation, adaptive equipment, ttherapeutic recreation, recreation, children with disabilties, British Columbia, BC, aquatics, equipment",N,N/A,N/A,,,All,BC,864,,,,
Vetting completed to criteria 4: objectivity/conflict of interest,,,,,,,Y,,979,Therapeutic Recreation: Sunny Hill Health Centre,Tagging,Maddy,,,,,,Internal,Sunny Hill Health Centre,,,http://www.bcchildrens.ca/our-services/sunny-hill-health-centre/our-services/therapeutic-recreation,"September 22, 2021","caregivers, families, clinicians",All,Health-related service,web link,,,,,,,,,,,"Services, Supports and Community Resources",Our team provides Recreation Therapy services to children with disabilities and their families from across BC,No specific diagnosis,,"music therapy, activities, participation, adaptive equipment, ttherapeutic recreation, recreation, children with disabilties, British Columbia, BC, aquatics, equipment",N,N/A,N/A,,,All,BC,864,,,,
June 23-21,,,,,,,,,980,Therapist Guide for Safe Driving for Power Mobility Learners ,web-ready,Claire/ Debbie,,,,,,Internal,"Debbie F. , OT, Roslyn L. , OT, Ivonne M. , OT",2020,,http://www.seatingandmobility.ca/Libraries/Wheeled_Mobility/TherapistsGuideSafePMDriving2020.sflb.ashx,28-May-21, clincians,"OT, PT, HCP students",Handout,Word,,,,,,,,,,,Intervention,"This Therapist's guide is intended for use by therapists to support a child’s safe learning and use of power mobility at home, in the community and/or school setting. It has been developed by a team of occupational therapists at Sunny Hill Health Centre and is based on current (2020) research and expert clinical opinion. ",those benefitting from power mobility interventions ,"wheelchair use, mobility","power mobility, power wheelchairs, safety, safe driving, therapist guide, learners, checklist, exploratory learners, operational learners, functional learners, implementation, evaluation, skill progression",N,N/A,N/A,,Debbie & Claire,,N/A,961,,,all,
June 23-21,,,,,,,,,980,Therapist Guide for Safe Driving for Power Mobility Learners ,web-ready,Claire/ Debbie,,,,,,Internal,"Debbie F. , OT, Roslyn L. , OT, Ivonne M. , OT",2020,,http://www.seatingandmobility.ca/Libraries/Wheeled_Mobility/TherapistsGuideSafePMDriving2020.sflb.ashx,28-May-21, clincians,"OT, PT, HCP students",Handout,Word,,,,,,,,,,,Assessment,"This Therapist's guide is intended for use by therapists to support a child’s safe learning and use of power mobility at home, in the community and/or school setting. It has been developed by a team of occupational therapists at Sunny Hill Health Centre and is based on current (2020) research and expert clinical opinion. ",those benefitting from power mobility interventions ,"wheelchair use, mobility","power mobility, power wheelchairs, safety, safe driving, therapist guide, learners, checklist, exploratory learners, operational learners, functional learners, implementation, evaluation, skill progression",N,N/A,N/A,,Debbie & Claire,,N/A,962,,,all,
Vetting completed to criteria objectivity/conflict of interest,,,,,,,,,982,Therapy BC,Web-ready,Anosha,,,,,,External,,,,https://therapybc.ca/,"August 20,2021","clinicians, researchers, families,",All,Website/page,,,,,,,,,,,,,"TherapyBC website was created to facilitate recruitment and retention of pediatric occupational therapists, physical therapists and speech-language pathologists in publicly funded programs",Not applicable,Not applicable,"therapy, training, pediatrics, pediatricians, recruitment, employment, occupational therapists,",N,N/A,N/A,,,All,BC,420,,,Introductory,
June 23-21,,,,,,,,,983,"Thunberg, Livingstone, Buchholz, Field. (2021). Chapter 15 Environmental adaptations in Hadders -Algra (ed), Early Detection and Early Intervention in Developmental Motor Disorders (ebook)",web-ready but need to add weblink to book as well as pdf of Chapter,Debbie,,add description and link to both the pdf of Chapter 15 (provided in PMT folder) and weblink for book as agreed as condition of use with publisher. Weblink to book is: http://www.mackeith.co.uk/shop/early-detection-and-early-intervention-in-developmental-motor-disorders-ebook/,,,,Internal,Roslyn L.  & Debbie F. ,2020,,Link to eBook: http://www.mackeith.co.uk/shop/early-detection-and-early-intervention-in-developmental-motor-disorders-ebook/,May 20-21,"clinicians, researchers, families (?)","OT, PT, Drs, HCP students",online book chapter,"webpage, pdf ",,,,,,,,,,,Assessment,"book chapter on environmental adaptations for children at risk or diagnosed with CP including evidence supporting use of therapeutic equipment for sitting, lying, standing, walking, and communication",cerebral palsy or those at risk,Sitting Posture; Standing; Lying; Walking; Augmented Mobility; Postural Control; Seating; Manual Mobility; Power Mobility; Communication,"gait training; supportive walking; postural support; sitting posture; lying, standing, equipment;prescription; provision; training; environmental considerations; Augmentative and Alternate Communication (AAC); eye gaze technology; switches; assistive technology; computer",N,,,,Debbie,,N/A,1027,,,all,
June 23-21,,,,,,,,,983,"Thunberg, Livingstone, Buchholz, Field. (2021). Chapter 15 Environmental adaptations in Hadders -Algra (ed), Early Detection and Early Intervention in Developmental Motor Disorders (ebook)",web-ready but need to add weblink to book as well as pdf of Chapter,Debbie,,add description and link to both the pdf of Chapter 15 (provided in PMT folder) and weblink for book as agreed as condition of use with publisher. Weblink to book is: http://www.mackeith.co.uk/shop/early-detection-and-early-intervention-in-developmental-motor-disorders-ebook/,,,,Internal,Roslyn L.  & Debbie F. ,2020,,Link to eBook: http://www.mackeith.co.uk/shop/early-detection-and-early-intervention-in-developmental-motor-disorders-ebook/,May 20-21,"clinicians, researchers, families (?)","OT, PT, Drs, HCP students",online book chapter,"webpage, pdf ",,,,,,,,,,,Intervention,"book chapter on environmental adaptations for children at risk or diagnosed with CP including evidence supporting use of therapeutic equipment for sitting, lying, standing, walking, and communication",cerebral palsy or those at risk,Sitting Posture; Standing; Lying; Walking; Augmented Mobility; Postural Control; Seating; Manual Mobility; Power Mobility; Communication,"gait training; supportive walking; postural support; sitting posture; lying, standing, equipment;prescription; provision; training; environmental considerations; Augmentative and Alternate Communication (AAC); eye gaze technology; switches; assistive technology; computer",N,,,,Debbie,,N/A,1028,,,all,
